area_fips,area_title,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1001,"Autauga County, Alabama",4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
1003,"Baldwin County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
1005,"Barbour County, Alabama",3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1007,"Bibb County, Alabama",2,2,2,2,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
1009,"Blount County, Alabama",1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
1011,"Bullock County, Alabama",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1013,"Butler County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1015,"Calhoun County, Alabama",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
1017,"Chambers County, Alabama",3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2
1019,"Cherokee County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1021,"Chilton County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1023,"Choctaw County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1025,"Clarke County, Alabama",3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3
1027,"Clay County, Alabama",2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2
1029,"Cleburne County, Alabama",2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4
1031,"Coffee County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1033,"Colbert County, Alabama",5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4
1035,"Conecuh County, Alabama",2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2
1037,"Coosa County, Alabama",2,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,2
1039,"Covington County, Alabama",2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2
1041,"Crenshaw County, Alabama",1,1,1,1,1,1,2,2,2,3,2,2,2,1,2,2,2,2,2,2,3,2,2,3,3,3,3
1043,"Cullman County, Alabama",3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1045,"Dale County, Alabama",5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1047,"Dallas County, Alabama",2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1049,"DeKalb County, Alabama",2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2
1051,"Elmore County, Alabama",3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,2
1053,"Escambia County, Alabama",3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1055,"Etowah County, Alabama",4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1057,"Fayette County, Alabama",4,4,4,3,4,3,3,3,2,3,2,3,2,3,3,3,3,2,1,1,1,1,1,1,2,2,1
1059,"Franklin County, Alabama",2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1061,"Geneva County, Alabama",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1063,"Greene County, Alabama",2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,3,3,3,3,3,3,2,1,1,2
1065,"Hale County, Alabama",1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
1067,"Henry County, Alabama",2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3
1069,"Houston County, Alabama",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1071,"Jackson County, Alabama",4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2
1073,"Jefferson County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1075,"Lamar County, Alabama",3,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1077,"Lauderdale County, Alabama",3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1079,"Lawrence County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2
1081,"Lee County, Alabama",4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3
1083,"Limestone County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1085,"Lowndes County, Alabama",4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
1087,"Macon County, Alabama",3,4,4,4,4,4,4,4,3,3,2,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4
1089,"Madison County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1091,"Marengo County, Alabama",3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4
1093,"Marion County, Alabama",3,3,3,3,4,4,4,4,4,3,3,3,3,2,3,3,3,2,2,3,3,2,2,2,2,2,2
1095,"Marshall County, Alabama",3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
1097,"Mobile County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
1099,"Monroe County, Alabama",5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4
1101,"Montgomery County, Alabama",4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1103,"Morgan County, Alabama",4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
1105,"Perry County, Alabama",1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
1107,"Pickens County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3
1109,"Pike County, Alabama",3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4
1111,"Randolph County, Alabama",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2
1113,"Russell County, Alabama",3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
1115,"St. Clair County, Alabama",3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1117,"Shelby County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1119,"Sumter County, Alabama",3,3,3,4,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1121,"Talladega County, Alabama",4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5
1123,"Tallapoosa County, Alabama",3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,1,2,2,3,3,3,2,2,2,2,2,1
1125,"Tuscaloosa County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
1127,"Walker County, Alabama",5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1129,"Washington County, Alabama",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1131,"Wilcox County, Alabama",5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4
1133,"Winston County, Alabama",2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2
1999,"Unknown Or Undefined, Alabama",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2013,"Aleutian East Borough, Alaska",5,5,5,5,5,5,5,5,4,5,5,2,4,4,3,4,3,3,3,3,3,3,3,3,3,5,5
2016,"Aleutian West Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2020,"Anchorage Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2050,"Bethel Census Area, Alaska",5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2060,"Bristol Bay Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2068,"Denali Borough, Alaska",0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2070,"Dillingham Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2090,"Fairbanks North Star Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2100,"Haines Borough, Alaska",5,5,5,5,5,5,5,4,4,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2105,"Hoonah-Angoon Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,3,3,2,3,3
2110,"Juneau Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2122,"Kenai Peninsula Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2130,"Ketchikan Gateway Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2150,"Kodiak Island Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4
2158,"Kusilvak Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2164,"Lake and Peninsula Borough, Alaska",0,4,4,3,3,3,3,2,2,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,3,3,2
2170,"Matanuska-Susitna Borough, Alaska",5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2180,"Nome Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
2185,"North Slope Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2188,"Northwest Arctic Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2195,"Petersburg Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4
2198,"Prince of Wales-Hyder Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4
2201,"Prince of Wales-Outer Ketchikan Census Area, AK",5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0
2220,"Sitka Borough, Alaska",5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,5,4,5,5,4,5
2230,"Skagway Municipality, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,4,4,4,4,4
2232,"Skagway-Hoonah-Angoon Census Area, Alaska",0,0,0,5,5,5,5,5,5,4,4,4,4,4,3,3,4,1,0,0,0,0,0,0,0,0,0
2240,"Southeast Fairbanks Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2261,"Valdez-Cordova Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2270,"Wade Hampton Census Area, Alaska",4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2275,"Wrangell City and Borough, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,3,3
2280,"Wrangell-Petersburg Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,1,0,0,0,0,0,0,0,0
2282,"Yakutat Borough, Alaska",0,0,0,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4
2290,"Yukon-Koyukuk Census Area, Alaska",5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4
2999,"Unknown Or Undefined, Alaska",0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4001,"Apache County, Arizona",5,5,5,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4003,"Cochise County, Arizona",4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4
4005,"Coconino County, Arizona",3,3,3,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4007,"Gila County, Arizona",5,4,5,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
4009,"Graham County, Arizona",3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,3,4,4,4,4
4011,"Greenlee County, Arizona",5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
4012,"La Paz County, Arizona",3,3,2,3,3,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2
4013,"Maricopa County, Arizona",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4015,"Mohave County, Arizona",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4017,"Navajo County, Arizona",4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3
4019,"Pima County, Arizona",4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4021,"Pinal County, Arizona",4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4
4023,"Santa Cruz County, Arizona",3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4
4025,"Yavapai County, Arizona",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3
4027,"Yuma County, Arizona",3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
4999,"Unknown Or Undefined, Arizona",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
5001,"Arkansas County, Arkansas",3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
5003,"Ashley County, Arkansas",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
5005,"Baxter County, Arkansas",2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5007,"Benton County, Arkansas",4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5009,"Boone County, Arkansas",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5011,"Bradley County, Arkansas",3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,1,1,1,3,3,2,1,1,1,1,1
5013,"Calhoun County, Arkansas",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5015,"Carroll County, Arkansas",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5017,"Chicot County, Arkansas",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5019,"Clark County, Arkansas",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5021,"Clay County, Arkansas",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
